FORMA|KEY|SIGL
coment|coment|g
paris|paris1|g
et|et|g
sa|sa|g
##|##
conpaignie|conpaignie|g
se|se1|g
mistrent|mistrent|g
en|en|g
mer|mer|g
##|##
or|or|g
dit|dit|g
li|li|g
contes|contes|g
que|que|g
##|##
,|,|g
quant|quant|g
paris|paris1|g
et|et|g
sa|sa|g
##|##
conpaignie|conpaignie|g
furent|furent1|g
en_si|en_si|g
atornés|atornés1|g
com|com|g
##|##
je|je|g
vos|vos|g
ai|ai1|g
dit|dit4|g
,|,|g
##|##
il|il1|g
se|se1|g
mistrent|mistrent|g
de_denz|de_denz|g
lor|lor5|g
##|##
nes|nes1|g
,|,|g
qi|qi|g
bien|bien4|g
furent|furent4|g
##|##
dui_mile|dui_mile|g
chevaliers|chevaliers2|g
preus|preus1|g
et|et|g
hardis|hardis1|g
##|##
et|et|g
conbatans|conbatans|g
.|.|g
li|li|g
roi|roi|g
##|##
priant|priant|g
lor|lor4|g
parla|parla|g
et|et|g
dist|dist|g
##|##
en_tel_mainiere|en_tel_mainiere|g
:|:|g
"|"||g
biauz|biauz4|g
seignors|seignors|g
,|,|g
##|##
fist|fist|g
il|il|g
,|,|g
je|je|g
vos|vos|g
##|##
pri|pri|g
et|et|g
reqier|reqier|g
moult|moult|g
doucement|doucement|g
##|##
,|,|g
tant_com|tant_com|g
je|je|g
plus|plus|g
puis|puis1|g
##|##
,|,|g
qe|qe3|g
vos|vos1|g
soïés|soïés|g
preus|preus1|g
##|##
et|et|g
ardis|ardis1|g
et|et|g
conbatans|conbatans|g
à|à|g
##|##
prendre|prendre|g
vengiance|vengiance|g
de|de|g
la|la|g
honte|honte|g
##|##
qe|qe1|g
les|les|g
gresois|gresois2|g
nos|nos1|g
ont|ont1|g
##|##
fete|fete|g
.|.|g
vos|vos1|g
avés|avés1|g
le|le|g
##|##
droit|droit1|g
devers|devers|g
vos|vos|g
et|et|g
il|il1|g
##|##
ont|ont|g
le|le|g
tort|tort|g
et|et|g
por_ce|por_ce|g
##|##
devés|devés|g
estre|estre3|g
plus|plus|g
seürs|seürs|g
de|de|g
##|##
vaincre|vaincre|g
vostre|vostre7|g
henemis|henemis|g
que|que|g
si|si|g
##|##
ferés|ferés|g
si_com|si_com|g
je|je|g
cuit|cuit1|g
.|.|g
##|##
paris|paris1|g
,|,|g
qi|qi|g
ensi|ensi|g
est|est|g
##|##
,|,|g
sera|sera3|g
vostre|vostre|g
cheveitane|cheveitane|g
,|,|g
##|##
avec|avec|g
lui|lui|g
sera|sera|g
deiphebus|deiphebus|g
et|et|g
##|##
heneas|heneas|g
et|et|g
polidamas|polidamas|g
,|,|g
qi|qi|g
##|##
bien|bien4|g
savront|savront1|g
consoillier|consoillier2|g
paris|paris|g
et|et|g
##|##
vos|vos|g
ausi|ausi|g
.|.|g
et|et|g
les|les|g
##|##
diex|diex1|g
vos|vos|g
doïnent|doïnent|g
tant_de|tant_de|g
grace|grace|g
##|##
qe|qe3|g
vos|vos1|g
ma|ma|g
suor|suor|g
esionan|esionan|g
##|##
puissiés|puissiés|g
avoir|avoir|g
,|,|g
de_part_diex|de_part_diex|g
soit|soit|g
##|##
.|.|g
et|et|g
se|se2|g
avoir|avoir|g
ne|ne|g
##|##
la|la1|g
poés|poés|g
,|,|g
si|si|g
me|me|g
##|##
mandés|mandés|g
tan_tost|tan_tost|g
vostre|vostre1|g
mesaje|mesaje1|g
et|et|g
##|##
je|je|g
vos|vos|g
en|en|g
promet|promet|g
qe|qe3|g
##|##
je|je|g
vos|vos|g
envoierai|envoierai|g
tel|tel2|g
secors|secors|g
##|##
et|et|g
si|si|g
fors|fors4|g
q’|q’1|g
il|il2|g
##|##
nen|nen|g
avra|avra2|g
en|en|g
grese|grese|g
si|si|g
##|##
fort|fort4|g
chastel|chastel1|g
ne|ne|g
si|si|g
forte|forte|g
##|##
cité|cité|g
q’|q’|g
il|il1|g
ne|ne|g
preignent|preignent|g
##|##
à|à|g
force|force|g
et|et|g
ne|ne|g
l’|l’5|g
##|##
abatent|abatent1|g
"|"||g
.|.|g
autre|autre1|g
parlement|parlement|g
##|##
ne|ne|g
tint|tint|g
li|li|g
roi|roi|g
à_cele_fois|à_cele_fois|g
##|##
ho|ho|g
els|els1|g
.|.|g
l’|l’|g
air|air1|g
##|##
estoit|estoit1|g
adonc|adonc|g
cler|cler|g
et|et|g
serin|serin|g
##|##
en_si_com|en_si_com|g
fet|fet1|g
en|en|g
mai|mai|g
,|,|g
##|##
et|et|g
l’|l’|g
ore|ore|g
vencoit|vencoit|g
adonc|adonc|g
##|##
doux|doux|g
et|et|g
soëf|soëf|g
.|.|g
il|il1|g
##|##
pristrent|pristrent|g
de|de|g
lor|lor6|g
amis|amis3|g
conjé|conjé|g
##|##
,|,|g
si|si|g
se|se1|g
partirent|partirent|g
dou|dou|g
##|##
port|port|g
,|,|g
si|si|g
siglerent|siglerent|g
vers|vers|g
##|##
grese|grese|g
à|à|g
voilles|voilles|g
ploines|ploines|g
,|,|g
##|##
à|à|g
moult|moult|g
grant|grant1|g
esploit|esploit|g
.|.|g
##|##
coment|coment|g
paris|paris1|g
encontra|encontra|g
menelaus|menelaus|g
de_denz|de_denz|g
##|##
la|la|g
mer|mer|g
en|en|g
celui|celui1|g
tenz|tenz|g
##|##
q’|q’1|g
il|il1|g
estoient|estoient1|g
de_denz|de_denz|g
la|la|g
##|##
mer|mer|g
entre|entre|g
paris|paris|g
et|et|g
sa|sa|g
##|##
conpaignie|conpaignie|g
,|,|g
il|il1|g
chousirent|chousirent|g
une|une|g
##|##
qantité|qantité|g
de|de|g
nes|nes1|g
qi|qi|g
aloient|aloient|g
##|##
parmi|parmi|g
la|la|g
mer|mer|g
.|.|g
cele|cele|g
##|##
navie|navie|g
estoit|estoit|g
dou|dou|g
roi|roi1|g
menelax|menelax|g
##|##
qi|qi|g
aloit|aloit|g
adonc|adonc|g
à|à|g
pirre|pirre|g
##|##
car|car|g
le|le|g
roi|roi|g
nestor|nestor1|g
l’|l’5|g
##|##
avoit|avoit2|g
mandé|mandé|g
qerre|qerre|g
,|,|g
ne|ne|g
##|##
sai|sai|g
por_quoi|por_quoi|g
.|.|g
celui|celui|g
menelax|menelax1|g
##|##
estoit|estoit1|g
moult|moult|g
riche|riche2|g
roi|roi|g
et|et|g
##|##
moult|moult|g
cortois|cortois|g
et|et|g
saje|saje|g
et|et|g
##|##
vaillant|vaillant|g
;|;|g
il|il|g
avoit|avoit|g
à|à|g
feme|feme|g
##|##
dame|dame|g
heleine|heleine|g
,|,|g
qi|qi|g
estoit|estoit1|g
##|##
la|la|g
plus|plus|g
très_plaisans|très_plaisans|g
qi|qi|g
fust|fust5|g
##|##
adonc|adonc|g
au|au|g
monde|monde1|g
ne|ne|g
qi|qi|g
##|##
fust|fust6|g
estee|estee|g
,|,|g
si_com|si_com|g
je|je|g
##|##
cuit|cuit1|g
.|.|g
les|les1|g
navies|navies|g
ne|ne|g
##|##
se|se1|g
porent|porent1|g
tant|tant|g
aprochier|aprochier|g
q’|q’1|g
##|##
il|il1|g
se|se1|g
peüssent|peüssent|g
parler|parler|g
;|;|g
il|il|g
##|##
ala|ala|g
ciaschun|ciaschun|g
sa|sa|g
voie|voie|g
sans|sans|g
##|##
rienz|rienz|g
savoir|savoir1|g
li|li|g
un|un2|g
de|de|g
##|##
l’|l’|g
autre|autre7|g
.|.|g
ceste|ceste1|g
dame|dame|g
##|##
helene|helene|g
,|,|g
la|la|g
feme|feme|g
menelax|menelax|g
##|##
,|,|g
avoit|avoit|g
dui|dui|g
freres|freres1|g
:|:|g
castor|castor1|g
##|##
et|et|g
apollus|apollus1|g
.|.|g
ces|ces|g
dui|dui|g
##|##
estoient|estoient1|g
adonc|adonc|g
de_denz|de_denz|g
la|la|g
cité|cité|g
##|##
de|de|g
cimestree|cimestree|g
,|,|g
qi|qi|g
moult|moult|g
##|##
estoit|estoit1|g
riche|riche|g
et|et|g
grant|grant4|g
.|.|g
##|##
si|si|g
avoit|avoit|g
adonc|adonc|g
dame|dame|g
heleine|heleine|g
##|##
une|une|g
fillie|fillie|g
qi|qi|g
estoit|estoit|g
à|à|g
##|##
celui|celui1|g
tenz|tenz|g
avec|avec|g
ces|ces4|g
dui|dui|g
##|##
honcles|honcles|g
,|,|g
qi|qi|g
moult|moult|g
la|la1|g
##|##
fesoient|fesoient|g
chierement|chierement|g
norir|norir|g
et|et|g
garder|garder|g
##|##
.|.|g
coment|coment|g
paris|paris1|g
ho|ho|g
sa|sa|g
##|##
navie|navie|g
ariva|ariva|g
en|en|g
grese|grese|g
à|à|g
##|##
l’|l’1|g
isle|isle|g
de|de|g
citea|citea|g
,|,|g
##|##
qi|qi|g
estoit|estoit|g
de|de|g
menelaus|menelaus|g
paris|paris1|g
##|##
et|et|g
sa|sa|g
conpaignie|conpaignie|g
hont|hont|g
tant|tant|g
##|##
alés|alés6|g
et|et|g
tant|tant|g
siglés|siglés|g
q’|q’1|g
##|##
il|il1|g
