FORMA|KEY|SIGL
coment|coment|p
paris|paris1|p
et|et|p
sa|sa|p
##|##
conpaignie|conpaignie|p
se|se1|p
mistrent|mistrent|p
en|en|p
mer|mer|p
##|##
or|or|p
dit|dit|p
li|li|p
contes|contes|p
que|que|p
##|##
,|,|p
quant|quant|p
paris|paris1|p
et|et|p
sa|sa|p
##|##
conpaignie|conpaignie|p
furent|furent1|p
en_si|en_si|p
atornés|atornés1|p
com|com|p
##|##
je|je|p
vos|vos|p
ai|ai1|p
dit|dit4|p
,|,|p
##|##
il|il1|p
se|se1|p
mistrent|mistrent|p
de_denz|de_denz|p
lor|lor5|p
##|##
nes|nes1|p
,|,|p
qi|qi|p
bien|bien4|p
furent|furent4|p
##|##
dui_mile|dui_mile|p
chevaliers|chevaliers2|p
preus|preus1|p
et|et|p
hardis|hardis1|p
##|##
et|et|p
conbatans|conbatans|p
.|.|p
li|li|p
roi|roi|p
##|##
priant|priant|p
lor|lor4|p
parla|parla|p
et|et|p
dist|dist|p
##|##
en_tel_mainiere|en_tel_mainiere|p
:|:|p
"|"||p
biauz|biauz4|p
seignors|seignors|p
,|,|p
##|##
fist|fist|p
il|il|p
,|,|p
je|je|p
vos|vos|p
##|##
pri|pri|p
et|et|p
reqier|reqier|p
moult|moult|p
doucement|doucement|p
##|##
,|,|p
tant_com|tant_com|p
je|je|p
plus|plus|p
puis|puis1|p
##|##
,|,|p
qe|qe3|p
vos|vos1|p
soïés|soïés|p
preus|preus1|p
##|##
et|et|p
ardis|ardis1|p
et|et|p
conbatans|conbatans|p
à|à|p
##|##
prendre|prendre|p
vengiance|vengiance|p
de|de|p
la|la|p
honte|honte|p
##|##
qe|qe1|p
les|les|p
gresois|gresois2|p
nos|nos1|p
ont|ont1|p
##|##
fete|fete|p
.|.|p
vos|vos1|p
avés|avés1|p
le|le|p
##|##
droit|droit1|p
devers|devers|p
vos|vos|p
et|et|p
il|il1|p
##|##
ont|ont|p
le|le|p
tort|tort|p
et|et|p
por_ce|por_ce|p
##|##
devés|devés|p
estre|estre3|p
plus|plus|p
seürs|seürs|p
de|de|p
##|##
vaincre|vaincre|p
vostre|vostre7|p
henemis|henemis|p
que|que|p
si|si|p
##|##
ferés|ferés|p
si_com|si_com|p
je|je|p
cuit|cuit1|p
.|.|p
##|##
paris|paris1|p
,|,|p
qi|qi|p
ensi|ensi|p
est|est|p
##|##
,|,|p
sera|sera3|p
vostre|vostre|p
cheveitane|cheveitane|p
,|,|p
##|##
avec|avec|p
lui|lui|p
sera|sera|p
deiphebus|deiphebus|p
et|et|p
##|##
heneas|heneas|p
et|et|p
polidamas|polidamas|p
,|,|p
qi|qi|p
##|##
bien|bien4|p
savront|savront1|p
consoillier|consoillier2|p
paris|paris|p
et|et|p
##|##
vos|vos|p
ausi|ausi|p
.|.|p
et|et|p
les|les|p
##|##
diex|diex1|p
vos|vos|p
doïnent|doïnent|p
tant_de|tant_de|p
grace|grace|p
##|##
qe|qe3|p
vos|vos1|p
ma|ma|p
suor|suor|p
esionan|esionan|p
##|##
puissiés|puissiés|p
avoir|avoir|p
,|,|p
de_part_diex|de_part_diex|p
soit|soit|p
##|##
.|.|p
et|et|p
se|se2|p
avoir|avoir|p
ne|ne|p
##|##
la|la1|p
poés|poés|p
,|,|p
si|si|p
me|me|p
##|##
mandés|mandés|p
tan_tost|tan_tost|p
vostre|vostre1|p
mesaje|mesaje1|p
et|et|p
##|##
je|je|p
vos|vos|p
en|en|p
promet|promet|p
qe|qe3|p
##|##
je|je|p
vos|vos|p
envoierai|envoierai|p
tel|tel2|p
secors|secors|p
##|##
et|et|p
si|si|p
fors|fors4|p
q’|q’1|p
il|il2|p
##|##
nen|nen|p
avra|avra2|p
en|en|p
grese|grese|p
si|si|p
##|##
fort|fort4|p
chastel|chastel1|p
ne|ne|p
si|si|p
forte|forte|p
##|##
cité|cité|p
q’|q’|p
il|il1|p
ne|ne|p
preignent|preignent|p
##|##
à|à|p
force|force|p
et|et|p
ne|ne|p
l’|l’5|p
##|##
abatent|abatent1|p
"|"||p
.|.|p
autre|autre1|p
parlement|parlement|p
##|##
ne|ne|p
tint|tint|p
li|li|p
roi|roi|p
à_cele_fois|à_cele_fois|p
##|##
ho|ho|p
els|els1|p
.|.|p
l’|l’|p
air|air1|p
##|##
estoit|estoit1|p
adonc|adonc|p
cler|cler|p
et|et|p
serin|serin|p
##|##
en_si_com|en_si_com|p
fet|fet1|p
en|en|p
mai|mai|p
,|,|p
##|##
et|et|p
l’|l’|p
ore|ore|p
vencoit|vencoit|p
adonc|adonc|p
##|##
doux|doux|p
et|et|p
soëf|soëf|p
.|.|p
il|il1|p
##|##
pristrent|pristrent|p
de|de|p
lor|lor6|p
amis|amis3|p
conjé|conjé|p
##|##
,|,|p
si|si|p
se|se1|p
partirent|partirent|p
dou|dou|p
##|##
port|port|p
,|,|p
si|si|p
siglerent|siglerent|p
vers|vers|p
##|##
grese|grese|p
à|à|p
voilles|voilles|p
ploines|ploines|p
,|,|p
##|##
à|à|p
moult|moult|p
grant|grant1|p
esploit|esploit|p
.|.|p
##|##
coment|coment|p
paris|paris1|p
encontra|encontra|p
menelaus|menelaus|p
de_denz|de_denz|p
##|##
la|la|p
mer|mer|p
en|en|p
celui|celui1|p
tenz|tenz|p
##|##
q’|q’1|p
il|il1|p
estoient|estoient1|p
de_denz|de_denz|p
la|la|p
##|##
mer|mer|p
entre|entre|p
paris|paris|p
et|et|p
sa|sa|p
##|##
conpaignie|conpaignie|p
,|,|p
il|il1|p
chousirent|chousirent|p
une|une|p
##|##
qantité|qantité|p
de|de|p
nes|nes1|p
qi|qi|p
aloient|aloient|p
##|##
parmi|parmi|p
la|la|p
mer|mer|p
.|.|p
cele|cele|p
##|##
navie|navie|p
estoit|estoit|p
dou|dou|p
roi|roi1|p
menelax|menelax|p
##|##
qi|qi|p
aloit|aloit|p
adonc|adonc|p
à|à|p
pirre|pirre|p
##|##
car|car|p
le|le|p
roi|roi|p
nestor|nestor1|p
l’|l’5|p
##|##
avoit|avoit2|p
mandé|mandé|p
qerre|qerre|p
,|,|p
ne|ne|p
##|##
sai|sai|p
por_quoi|por_quoi|p
.|.|p
celui|celui|p
menelax|menelax1|p
##|##
estoit|estoit1|p
moult|moult|p
riche|riche2|p
roi|roi|p
et|et|p
##|##
moult|moult|p
cortois|cortois|p
et|et|p
saje|saje|p
et|et|p
##|##
vaillant|vaillant|p
;|;|p
il|il|p
avoit|avoit|p
à|à|p
feme|feme|p
##|##
dame|dame|p
heleine|heleine|p
,|,|p
qi|qi|p
estoit|estoit1|p
##|##
la|la|p
plus|plus|p
très_plaisans|très_plaisans|p
qi|qi|p
fust|fust5|p
##|##
adonc|adonc|p
au|au|p
monde|monde1|p
ne|ne|p
qi|qi|p
##|##
fust|fust6|p
estee|estee|p
,|,|p
si_com|si_com|p
je|je|p
##|##
cuit|cuit1|p
.|.|p
les|les1|p
navies|navies|p
ne|ne|p
##|##
se|se1|p
porent|porent1|p
tant|tant|p
aprochier|aprochier|p
q’|q’1|p
##|##
il|il1|p
se|se1|p
peüssent|peüssent|p
parler|parler|p
;|;|p
il|il|p
##|##
ala|ala|p
ciaschun|ciaschun|p
sa|sa|p
voie|voie|p
sans|sans|p
##|##
rienz|rienz|p
savoir|savoir1|p
li|li|p
un|un2|p
de|de|p
##|##
l’|l’|p
autre|autre7|p
.|.|p
ceste|ceste1|p
dame|dame|p
##|##
helene|helene|p
,|,|p
la|la|p
feme|feme|p
menelax|menelax|p
##|##
,|,|p
avoit|avoit|p
dui|dui|p
freres|freres1|p
:|:|p
castor|castor1|p
##|##
et|et|p
apollus|apollus1|p
.|.|p
ces|ces|p
dui|dui|p
##|##
estoient|estoient1|p
adonc|adonc|p
de_denz|de_denz|p
la|la|p
cité|cité|p
##|##
de|de|p
cimestree|cimestree|p
,|,|p
qi|qi|p
moult|moult|p
##|##
estoit|estoit1|p
riche|riche|p
et|et|p
grant|grant4|p
.|.|p
##|##
si|si|p
avoit|avoit|p
adonc|adonc|p
dame|dame|p
heleine|heleine|p
##|##
une|une|p
fillie|fillie|p
qi|qi|p
estoit|estoit|p
à|à|p
##|##
celui|celui1|p
tenz|tenz|p
avec|avec|p
ces|ces4|p
dui|dui|p
##|##
honcles|honcles|p
,|,|p
qi|qi|p
moult|moult|p
la|la1|p
##|##
fesoient|fesoient|p
chierement|chierement|p
norir|norir|p
et|et|p
garder|garder|p
##|##
.|.|p
coment|coment|p
paris|paris1|p
ho|ho|p
sa|sa|p
##|##
navie|navie|p
ariva|ariva|p
en|en|p
grese|grese|p
à|à|p
##|##
l’|l’1|p
isle|isle|p
de|de|p
citea|citea|p
,|,|p
##|##
qi|qi|p
estoit|estoit|p
de|de|p
menelaus|menelaus|p
paris|paris1|p
##|##
et|et|p
sa|sa|p
conpaignie|conpaignie|p
hont|hont|p
tant|tant|p
##|##
alés|alés6|p
et|et|p
tant|tant|p
siglés|siglés|p
q’|q’1|p
##|##
il|il1|p
ariverent|ariverent|p
en|en|p
grese|grese|p
à|à|p
##|##
un|un1|p
ille|ille|p
qui|qui|p
estoit|estoit2|p
à|à|p
##|##
celui|celui1|p
tenz|tenz|p
apellee|apellee|p
chitera|chitera|p
,|,|p
##|##
selonc|selonc|p
ce_qe|ce_qe|p
le|le2|p
scriture|scriture|p
nos|nos1|p
##|##
dit|dit4|p
,|,|p
qi|qi|p
estoit|estoit|p
de|de|p
##|##
la|la|p
seignorie|seignorie|p
menelax|menelax|p
.|.|p
li|li|p
##|##
tenz|tenz1|p
estoit|estoit1|p
adonc|adonc|p
moult|moult|p
cler|cler|p
##|##
et|et|p
serins|serins|p
.|.|p
à|à|p
cele|cele|p
##|##
isle|isle|p
estoit|estoit|p
un|un|p
tenple|tenple|p
moult|moult|p
##|##
riche|riche2|p
et|et|p
ansien|ansien|p
,|,|p
là_où|là_où|p
##|##
toute|toute|p
la|la|p
gent|gent|p
avoient|avoient|p
moult|moult|p
##|##
grant|grant4|p
devosion|devosion|p
,|,|p
si|si|p
i|i|p
##|##
venoient|venoient|p
les|les1|p
genz|genz|p
dou|dou|p
païs|païs|p
##|##
sacrefice|sacrefice|p
et|et|p
horison|horison|p
faire|faire|p
car|car|p
##|##
moult|moult|p
i|i|p
avoient|avoient|p
grant|grant4|p
devosion|devosion|p
##|##
;|;|p
si|si|p
i|i|p
ofroient|ofroient|p
de|de|p
riches|riches2|p
##|##
dons|dons|p
et|et|p
i|i|p
prenoient|prenoient|p
devin|devin|p
##|##
respons|respons|p
.|.|p
à|à|p
celui|celui1|p
tenz|tenz|p
##|##
qe|qe3|p
paris|paris1|p
i|i|p
ariva|ariva|p
,|,|p
##|##
i|i|p
fesoient|fesoient|p
les|les1|p
genz|genz|p
à|à|p
##|##
celui|celui1|p
temple|temple1|p
moult|moult|p
grant|grant4|p
feste|feste|p
##|##
,|,|p
car|car|p
il|il1|p
estoient|estoient2|p
tos|tos4|p
##|##
venus|venus1|p
à|à|p
grant|grant4|p
joie|joie|p
et|et|p
##|##
à|à|p
grant|grant1|p
desduit|desduit|p
,|,|p
car|car|p
##|##
lendemain|lendemain|p
devoient|devoient|p
celebrer|celebrer|p
cele|cele|p
grant|grant4|p
##|##
feste|feste|p
à|à|p
la|la|p
deesse|deesse|p
juno|juno|p
##|##
.|.|p
paris|paris1|p
,|,|p
puis_q’|puis_q’|p
il|il|p
##|##
fu|fu2|p
arivés|arivés2|p
,|,|p
il|il|p
descendi|descendi|p
##|##
de|de|p
nes|nes2|p
entre|entre|p
lui|lui|p
et|et|p
##|##
sa|sa|p
conpaignie|conpaignie|p
