FORMA|KEY|SIGL
cortois|cortois|v
et|et|v
saje|saje|v
et|et|v
##|##
vaillant|vaillant|v
;|;|v
il|il|v
avoit|avoit|v
à|à|v
feme|feme|v
##|##
dame|dame|v
heleine|heleine|v
,|,|v
qi|qi|v
estoit|estoit1|v
##|##
la|la|v
plus|plus|v
très_plaisans|très_plaisans|v
qi|qi|v
fust|fust5|v
##|##
adonc|adonc|v
au|au|v
monde|monde1|v
ne|ne|v
qi|qi|v
##|##
fust|fust6|v
estee|estee|v
,|,|v
si_com|si_com|v
je|je|v
##|##
cuit|cuit1|v
.|.|v
les|les1|v
navies|navies|v
ne|ne|v
##|##
se|se1|v
porent|porent1|v
tant|tant|v
aprochier|aprochier|v
q’|q’1|v
##|##
il|il1|v
se|se1|v
peüssent|peüssent|v
parler|parler|v
;|;|v
il|il|v
##|##
ala|ala|v
ciaschun|ciaschun|v
sa|sa|v
voie|voie|v
sans|sans|v
##|##
rienz|rienz|v
savoir|savoir1|v
li|li|v
un|un2|v
de|de|v
##|##
l’|l’|v
autre|autre7|v
.|.|v
ceste|ceste1|v
dame|dame|v
##|##
helene|helene|v
,|,|v
la|la|v
feme|feme|v
menelax|menelax|v
##|##
,|,|v
avoit|avoit|v
dui|dui|v
freres|freres1|v
:|:|v
castor|castor1|v
##|##
et|et|v
apollus|apollus1|v
.|.|v
ces|ces|v
dui|dui|v
##|##
estoient|estoient1|v
adonc|adonc|v
de_denz|de_denz|v
la|la|v
cité|cité|v
##|##
de|de|v
cimestree|cimestree|v
,|,|v
qi|qi|v
moult|moult|v
##|##
estoit|estoit1|v
riche|riche|v
et|et|v
grant|grant4|v
.|.|v
##|##
si|si|v
avoit|avoit|v
adonc|adonc|v
dame|dame|v
heleine|heleine|v
##|##
une|une|v
fillie|fillie|v
qi|qi|v
estoit|estoit|v
à|à|v
##|##
celui|celui1|v
tenz|tenz|v
avec|avec|v
ces|ces4|v
dui|dui|v
##|##
honcles|honcles|v
,|,|v
qi|qi|v
moult|moult|v
la|la1|v
##|##
fesoient|fesoient|v
