FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
agamenon|agamenon1|Agamemnon||||properNoun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
agusiéz|agusiéz|aguisier|*ACUTIARE|||verb|Adj|Masc|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ahornee|ahornee|aorner2|ADORNARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ahornement|ahornement1|aornement|ADORNARE|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ahornés|ahornés2|aorner2|ADORNARE|||verb|Adj|Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ahornés|ahornés3|aorner2|ADORNARE|||verb|compPass|Masc|Plur||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ai|ai|avoir|HABERE|||verb|||Sing||||||1|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ai|ai1|avoir|HABERE|||verb|auxTens||Sing||||MWEs||1|Fin|Ind|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aies|aies1|avoir|HABERE|||verb|auxTens||Sing||||MWEs||2|Fin|Sub|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aigue|aigue|aigue|AQUA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aille|aille|aler (GDC)|AMBULARE|||verb|||Sing||||||3|Fin|Sub|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aillent|aillent|aler (GDC)|AMBULARE|||verb|||Plur||||||3|Fin|Sub|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aim|aim|amer1|AMARE|||verb|||Sing||||||1|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aime|aime|amer1|AMARE|||verb|||Sing||||||1|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aime|aime1|amer1|AMARE|||verb|||Sing||||||3|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ains|ains|ainz|ANTE|||verb||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ains_qe|ains_qe|ainz|ANTE|||adverb|SConj ||||||MWEs|||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ainsois_qe|ainsois_qe|ainçois|ANTE|||adverb|SConj ||||||MWEs|||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
air|air1|air1|AER|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ais|ais|ainz|ANTE|||noun||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ais|ais2|aise|ADJACENS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ais|ais4|avoir|HABERE|||verb|auxTens||Sing||||MWEs||2|Fin|Ind|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aisieement|aisieement|aisement|ADJACENS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ait|ait|avoir|HABERE|||verb|||Sing||||||3|Fin|Sub|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ajorner|ajorner|ajorner|DIURNUM|||verb|Noun|||||||||Ind|Inf|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ala|ala|aler (GDC)|AMBULARE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ala|ala1|aler (GDC)|AMBULARE|||verb|||Sing||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ala|ala2|aler (GDC)|AMBULARE|||verb|auxMod||Sing||||||3|Fin|Ind|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alant|alant|aler (GDC)|AMBULARE|||verb||||||||||Ind|Ger|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alassent|alassent2|aler (GDC)|AMBULARE|||verb|auxMod||Sing||||||3|Fin|Sub|Imp||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alasses|alasses|aler (GDC)|AMBULARE|||verb|||Sing||||||2|Fin|Sub|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alast|alast|aler (GDC)|AMBULARE|||verb|||Sing||||||3|Fin|Sub|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alee|alee|aler (GDC)|AMBULARE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alegre|alegre3|haliegre|ALACER|||adjective||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alegresse|alegresse|halegrece|ALACER|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
