FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
chevi|chevi|chevir|CAPUT|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chevis|chevis|chevir|CAPUT|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cheïr|cheïr|chëoir|CADERE|||verb||||||||||Ind|Inf|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cheüe|cheüe|chëoir|CADERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chief|chief1|chief1|CAPUT|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chiere|chiere|chiere|CARA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chiere|chiere1|chier|CARUS|||adjective||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chierement|chierement|chierement|CARUS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
choucha|choucha|couchier|COLLOCARE|||verb|||Sing||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chouche|chouche|couche|COLLOCARE|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chouchee|chouchee|couchier|COLLOCARE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chouchee|chouchee1|couchier|COLLOCARE|||verb||Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chouse|chouse|chose|CAUSA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chouses|chouses|chose|CAUSA|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chousi|chousi|choisir|KAUSJAN|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
chousi|chousi1|choisir|KAUSJAN|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ci|ci|ci|HIC|||verb||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ciaschun|ciaschun|chascun|CATA|||pronoun||Masc|Sing|Nom||||Ind||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ciascun|ciascun|chascun|CATA|||pronoun||Masc|Sing|Nom||||Ind||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
citee|citee|cité|CIVITAS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cité|cité|cité|CIVITAS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
clamés|clamés|clamer|CLAMARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
clartés|clartés|clarté|CLARITAS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cler|cler|cler|CLARUS|||adjective||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cler|cler1|cler|CLARUS|||adjective||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
clerement|clerement|clerement|CLARUS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cloistrent|cloistrent| clore|CLAUDERE|||verb|||Plur||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
clos|clos|clore|CLAUDERE|||verb|Adj|Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
close|close|clore|CLAUDERE|||verb||Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
clost|clost|clore|CLAUDERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coillie|coillie|coillir|COLLIGERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coillir|coillir|coillir|COLLIGERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cojement|cojement|coiement|QUIETUS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
colcos|colcos|Colcos||||properNoun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
com|com|come1|QUOMODO|||properNoun||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comanda|comanda|comander|COMMANDARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comande|comande|comander|COMMENDARE|||verb|||Sing||||||3|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comandement|comandement|comandement|COMMANDARE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comander|comander|comander|COMMANDARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comandé|comandé|comander|COMMANDARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comant|comant|comander|COMMANDARE|||verb|||Sing||||||1|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
come|come|come1|QUOMODO|||verb||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comenca|comenca|comencier|COMINITIARE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comencerent|comencerent|comencier|COMINITIARE|||verb|||Plur||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
comensa|comensa|comencier|COMINITIARE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coment|coment|coment|QUOMODO|||adverb|||||||||||||||||Int|||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
commanda|commanda|comander|COMMANDARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
commandament|commandament|comandement|COMMENDARE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
commandement|commandement|comandement|COMMENDARE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
commenda|commenda|comander|COMMANDARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
commensa|commensa|comencier|COMINITIARE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conbatans|conbatans|combatre|COMBATTERE|||verb|Adj|||||||||Ind|Ger|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conbaterais|conbaterais|combatre|COMBATTUERE|||verb|||Sing||||||2|Fin|Ind|Fut||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conbatus|conbatus|combatre|COMBATTERE|||verb|compPass|Masc|Plur||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conduire|conduire|conduire|CONDUCERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conduisoit|conduisoit|conduire|CONDUCERE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conduit|conduit|conduire|CONDUCERE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
condusoit|condusoit|conduire|CONDUCERE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coneü|coneü|conoistre|COGNOSCERE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conforta|conforta|conforter|CONFORTARE|||verb|||Sing||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjeer|conjeer|congeer|COMMEATUS|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoir|conjoir|conjöir|GAUDERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoié|conjoié|conjöir|GAUDERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoï|conjoï|conjöir|GAUDERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoïrent|conjoïrent|conjöir|GAUDERE|||verb|||Plur||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoïs|conjoïs|conjöir|GAUDERE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjoïst|conjoïst|conjöir|GAUDERE|||verb|||Sing||||||3|Fin|Sub|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conjé|conjé|congié|COMMEATUS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conmanda|conmanda|comander|COMMENDARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conmandement|conmandement|comandement|COMMENDARE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conmandé|conmandé|comander|COMMENDARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
connoisoient|connoisoient|conoistre|COGNOSCERE|||verb|||Plur||||||3|Fin|Ind|Imp|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
connoisoit|connoisoit|conoistre|COGNOSCERE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
connut|connut|conoistre|COGNOSCERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conoisirons|conoisirons|conoistre|COGNOSCERE|||verb|||Plur||||||1|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conpaignie|conpaignie|compagnie|COMPANIO|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conpaignon|conpaignon|compagnon|COMPANIO|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conpaignons|conpaignons|compagnon|COMPANIO|||noun||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conpaignons|conpaignons1|compagnon|COMPANIO|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conqerre|conqerre|conquerir|CONQUIRERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conqerrés|conqerrés|conquerir|CONQUIRERE|||verb|||Plur||||||2|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conqise|conqise|conquerir|CONQUIRERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conqist|conqist|conquerir|CONQUIRERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conquerrons|conquerrons|conquerir|CONQUIRERE|||verb|||Plur||||||1|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conseil|conseil|conseil|CONSILIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consenti|consenti|consentir|CONSENTIRE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consentir|consentir|consentir|CONSENTIRE|||verb||||||||||Ind|Inf|Pres|Act|Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consentoit|consentoit|consentir|CONSENTIRE|||verb|||Sing||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consoil|consoil|conseil|CONSILIUM|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consoil|consoil1|conseil|CONSILIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consoilla|consoilla|conseillier3|CONSILIARE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consoillier|consoillier2|conseillier3|CONSILIARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consoillés|consoillés2|conseillier3|CONSILIARE|||verb|||Plur||||||2|Fin|Imp|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
consol|consol|conseil|CONSILIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conta|conta|conter|COMPUTARE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contant|contant|conter|COMPUTARE|||verb||||||||||Ind|Ger|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conte|conte|conte1|COMES|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conte|conte1|conte2|COMPUTUS|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contee|contee|conter|COMPUTARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conter|conter|conter|COMPUTARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contes|contes|conte2|COMPUTUS|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contre|contre|contre|CONTRA|||noun||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contredit|contredit|contredit|CONTRADICERE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contree|contree|contree|CONTRA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contrees|contrees|contree|CONTRA|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contrere|contrere|contraire1|CONTRARIUS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contr’|contr’|contre|CONTRA|||noun||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conté|conté|conter|COMPUTARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conté|conté1|conter|COMPUTARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contés|contés|conter|COMPUTARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
contés|contés1|conter|COMPUTARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convenable|convenable|covenable|CONVENIRE|||adjective||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convendra|convendra|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Ind|Fut||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convendroit|convendroit|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Cnd|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convenist|convenist|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convenoit|convenoit|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
conviengne|conviengne|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Sub|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convient|convient|covenir|CONVENIRE|||verb|||Sing||||||3|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
convooit|convooit|covoitier|CUPIDITAS|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coraje|coraje|corage|COR|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corirent|corirent|corir|CURRERE|||verb|||Plur||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corirent|corirent1|corir|CURRERE|||verb|||Plur||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corociés|corociés|corrocier|*CORRUPTUM|||verb|compTens|Masc|Plur||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
correront|correront|corir|CURRERE|||verb|||Plur||||||3|Fin|Ind|Fut|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corrocerent|corrocerent|corrocier|*CORRUPTUM|||verb|||Plur||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corrociéz|corrociéz1|corrocier|*CORRUPTUM|||verb|Adj|Masc|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corrociéz|corrociéz3|corrocier|*CORRUPTUM|||verb|Adj|Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cors|cors|cors1|CORPUS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cors|cors1|cors1|CORPUS|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cort|cort|cort|COHORS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cort|cort1|corir|CURRERE|||verb|||Sing||||||3|Fin|Ind|Pres|Act|Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cortesie|cortesie|cortoisie|COHORS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cortois|cortois|cortois|COHORS|||adjective||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cortoisement|cortoisement|cortoisement|COHORS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corue|corue|corir|CURRERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
corurent|corurent|corir|CURRERE|||verb|||Plur||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
couchier|couchier|couchier|COLLOCARE|||verb||||||||||Ind|Part|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
couchés|couchés|couchier|COLLOCARE|||verb|auxTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coul|coul|col|COLLUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coulor|coulor|color|COLOR|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coulor|coulor1|color|COLOR|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coulors|coulors|color|COLOR|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coup|coup|coup|COLAPHUS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
couse|couse|chose|CAUSA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
coux|coux|coup|COLAPHUS|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
covert|covert|covrir|COOPERIRE|||verb||Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
covertor|covertor|covertor|COOPERTORIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
covertors|covertors|covertor|COOPERTORIUM|||noun||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
creberas|creberas|criembre|TREMERE|||verb|||Sing||||||2|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
creinbra|creinbra|criembre|TREMERE|||verb|||Sing||||||3|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
creüe|creüe|croire|CREDERE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
creüe|creüe1|croire|CREDERE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
creüz|creüz1|croistre|CRESCERE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cri|cri1|cri|QUIRITARE|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
crie|crie|crïer1|QUIRITARE|||verb|||Sing||||||3|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
criee|criee|crïee|QUIRITARE|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
crioient|crioient|crïer1|QUIRITARE|||verb|||Plur||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
crioit|crioit|crïer1|QUIRITARE|||verb|||Sing||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
croi|croi|croire|CREDERE|||verb|||Sing||||||1|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cruelment|cruelment|crüelment|CRUDELIS|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
crut|crut|croistre|CRESCERE|||verb|||Sing||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuer|cuer|cuer2|COR|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cugnees|cugnees|coigniee|CUNEATUS|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cui|cui|qui|QUI|||pronoun||||Acc||||Rel||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuide|cuide|cuidier1|COGITARE|||verb|||Sing||||||3|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuide|cuide1|cuidier1|COGITARE|||verb|||Sing||||||3|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuidier|cuidier|cuidier1|COGITARE|||verb|Noun|||||||||Ind|Inf|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuidoient|cuidoient|cuidier1|COGITARE|||verb|||Plur||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuidoit|cuidoit|cuidier1|COGITARE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuir|cuir|cuir|CORIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuire|cuire|cuivre|CYPRIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuit|cuit|cuidier1|COGITARE|||verb|||Sing||||||1|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuit|cuit1|cuidier1|COGITARE|||verb|||Sing||||||1|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuor|cuor|cuer2|COR|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
cuor|cuor1|cuer2|COR|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
c’|c’|se|SI|||noun||||||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
d_entor|d_entor|entor|TORNARE|||adverb|Adv||||||MWEs|||||||||Loc||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
d_environ|d_environ|environ|VIBRARE|||noun|Adv|Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
d_eviron|d_eviron|environ|VIBRARE|||noun|Adv|Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
daire|daire1|Daires||||properNoun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
damaje|damaje|damage|DAMNUM|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
