FORMA|KEY|SIGL
en|en|g
l’|l’1|g
isle|isle|g
dou|dou|g
colcos|colcos|g
##|##
un|un|g
monton|monton|g
le_qel|le_qel|g
avoit|avoit|g
la|la|g
##|##
toison|toison|g
d’|d’|g
or|or1|g
.|.|g
si|si|g
##|##
estoit|estoit|g
celui|celui|g
monton|monton|g
de|de|g
tel|tel6|g
##|##
vertu|vertu|g
qe|qe3|g
nuls|nuls3|g
ne|ne|g
le|le4|g
##|##
poit|poit|g
prendre|prendre|g
ni|ni|g
avoir|avoir|g
ni|ni|g
##|##
por|por|g
senz|senz1|g
ni|ni|g
por|por|g
hor|hor1|g
##|##
ni|ni|g
por|por|g
argent|argent|g
,|,|g
car|car|g
##|##
il|il|g
estoit|estoit2|g
del|del|g
guise|guise|g
gardés|gardés|g
##|##
q’|q’1|g
il|il|g
n’|n’|g
i|i|g
alast|alast|g
##|##
ja|ja|g
nul|nul|g
home|home|g
vivant|vivant|g
por|por|g
##|##
prer|prer|g
-le|-le|g
q’|q’1|g
il|il|g
ne|ne|g
##|##
li|li2|g
convenist|convenist|g
la|la|g
vie|vie|g
perdre|perdre|g
##|##
.|.|g
si|si|g
en|en2|g
estoit|estoit3|g
ja|ja|g
##|##
por|por|g
lui|lui|g
prendre|prendre|g
et|et|g
avoir|avoir|g
##|##
maintes|maintes|g
vaillans|vaillans|g
homes|homes|g
mors|mors|g
.|.|g
##|##
pelleus|pelleus|g
se|se|g
porpensa|porpensa|g
en|en|g
son|son1|g
##|##
cuor|cuor|g
qe|qe3|g
,|,|g
c’|c’|g
il|il|g
##|##
peüst|peüst|g
tan|tan|g
faire|faire|g
q’|q’1|g
il|il|g
##|##
i|i|g
peüst|peüst|g
jason|jason1|g
envoier|envoier|g
por|por|g
##|##
la|la|g
toison|toison|g
dou|dou|g
monton|monton1|g
qerre|qerre|g
##|##
,|,|g
adonc|adonc|g
seroit|seroit|g
il|il|g
delivré|delivré|g
##|##
de|de|g
lui|lui|g
et|et|g
de|de|g
sa|sa|g
##|##
paor|paor|g
et|et|g
jamés|jamés|g
ne|ne|g
li|li2|g
##|##
convendroit|convendroit|g
de|de|g
lui|lui|g
douter|douter|g
à_ce_q’|à_ce_q’|g
##|##
il|il|g
savoit|savoit|g
qe|qe3|g
jamés|jamés|g
ne|ne|g
##|##
repareroit|repareroit|g
.|.|g
de|de|g
se|se4|g
meïsmes|meïsmes3|g
##|##
.|.|g
ne|ne|g
demora|demora|g
mie|mie|g
grament|grament|g
##|##
qe|qe3|g
li|li|g
roi|roi|g
pelleus|pelleus|g
tint|tint|g
##|##
une|une|g
mult|mult|g
grant|grant4|g
feste|feste|g
de_denz|de_denz|g
##|##
sa|sa|g
cité|cité|g
car|car|g
il|il|g
fist|fist1|g
##|##
asenbler|asenbler|g
tos|tos1|g
les|les|g
aus|aus1|g
barons|barons3|g
##|##
de|de|g
sa|sa|g
contree|contree|g
et|et|g
de|de|g
##|##
son|son1|g
reigne|reigne|g
qi|qi|g
bien|bien4|g
furent|furent|g
##|##
plus|plus|g
de|de|g
viic|viic|g
.|.|g
à|à|g
##|##
cele|cele|g
grant|grant4|g
feste|feste|g
estoit|estoit|g
jason|jason|g
##|##
et|et|g
hercules|hercules|g
.|.|g
celui|celui|g
hercules|hercules|g
##|##
estoit|estoit1|g
mult|mult|g
preus|preus|g
et|et|g
vaillant|vaillant|g
##|##
et|et|g
mult|mult|g
très_fors|très_fors|g
:|:|g
il|il|g
conqist|conqist|g
##|##
par|par|g
sa|sa|g
force|force|g
et|et|g
par|par|g
##|##
sa|sa|g
proësse|proësse|g
maintes|maintes1|g
reignes|reignes|g
et|et|g
##|##
maintes|maintes3|g
regions|regions|g
;|;|g
il|il|g
ficha|ficha|g
les|les|g
##|##
boues|boues|g
qe|qe1|g
alixandre|alixandre|g
le|le|g
grant|grant|g
##|##
trova|trova|g
en|en|g
inde|inde|g
la|la|g
dereaine|dereaine|g
##|##
.|.|g
celui|celui|g
hercules|hercules|g
vainqi|vainqi|g
et|et|g
##|##
hocist|hocist|g
maint|maint1|g
jaans|jaans|g
par|par|g
son|son1|g
##|##
cors|cors|g
seulement|seulement|g
.|.|g
et|et|g
quant|quant|g
##|##
la|la|g
cort|cort|g
hot|hot|g
duree|duree|g
viii|viii|g
##|##
jors|jors|g
tot|tot4|g
pleniers|pleniers|g
,|,|g
li|li|g
##|##
roi|roi|g
apella|apella|g
jason|jason1|g
et|et|g
li|li2|g
##|##
dist|dist|g
:|:|g
"|"||g
biau|biau|g
nies|nies|g
,|,|g
##|##
je|je|g
vos|vos|g
aime|aime|g
,|,|g
veraiement|veraiement|g
##|##
le|le6|g
sachés|sachés|g
,|,|g
sor|sor|g
toutes|toutes|g
##|##
rienz|rienz2|g
vivant|vivant|g
et|et|g
faire|faire|g
le|le6|g
##|##
doi|doi1|g
por_ce_qe|por_ce_qe|g
mon|mon|g
nevo|nevo1|g
esté|esté3|g
##|##
et|et|g
por_ce_qe|por_ce_qe|g
vostre|vostre2|g
valor|valor|g
et|et|g
##|##
vostre|vostre2|g
proësse|proësse|g
le|le6|g
me|me|g
comande|comande|g
##|##
à|à|g
faire|faire|g
.|.|g
biaus|biaus|g
nies|nies|g
##|##
,|,|g
je|je|g
ne|ne|g
vos|vos|g
vuoil|vuoil|g
##|##
ramentovoir|ramentovoir|g
la|la|g
grant|grant4|g
renomee|renomee|g
qui|qui|g
##|##
vos|vos|g
cort|cort1|g
par|par|g
universe|universe|g
monde|monde1|g
##|##
ni|ni|g
ne|ne|g
vos|vos|g
vuoil|vuoil|g
ramentouvoir|ramentouvoir|g
##|##
vostre|vostre2|g
grant|grant4|g
proësses|proësses|g
ne|ne|g
vostre|vostre2|g
##|##
mervoilleuses|mervoilleuses|g
victoire|victoire|g
qi|qi|g
vos|vos|g
sunt|sunt|g
##|##
avenues|avenues|g
en|en|g
vostre|vostre1|g
tenz|tenz|g
por_ce_q’|por_ce_q’|g
##|##
il|il|g
ne|ne|g
seroit|seroit1|g
convenable|convenable|g
.|.|g
##|##
mes|mes|g
je|je|g
vos|vos|g
fais|fais|g
savoir|savoir1|g
##|##
qe|qe3|g
vos|vos1|g
poés|poés|g
henor|henor|g
et|et|g
##|##
pris|pris|g
conqerre|conqerre|g
et|et|g
avoir|avoir|g
sor|sor|g
##|##
tos|tos1|g
homes|homes1|g
vivant|vivant|g
se|se2|g
vos|vos1|g
##|##
de|de|g
ce|ce1|g
vos|vos|g
volés|volés|g
entremetre|entremetre|g
##|##
.|.|g
si|si|g
vos|vos|g
dirai|dirai|g
coment|coment|g
##|##
.|.|g
voir|voir|g
est|est1|g
qe|qe3|g
en_l’|en_l’|g
##|##
isle|isle|g
dou|dou|g
colcos|colcos|g
a|a1|g
un|un|g
##|##
monton|monton|g
le_qel|le_qel|g
a|a|g
la|la|g
toison|toison|g
##|##
d’|d’|g
or|or1|g
;|;|g
si|si|g
se|se1|g
sont|sont3|g
##|##
ja|ja|g
maint|maint|g
preudomes|preudomes|g
asaiés|asaiés|g
por|por|g
##|##
lui|lui|g
avoir|avoir|g
.|.|g
mes|mes|g
tel|tel6|g
##|##
en|en2|g
a|a2|g
esté|esté1|g
l’|l’1|g
aventure|aventure|g
##|##
qi|qi1|g
encore|encore|g
ni|ni|g
i|i|g
ala|ala|g
##|##
nuls|nuls3|g
qui|qui|g
à|à|g
chief|chief1|g
en|en2|g
##|##
venist|venist|g
.|.|g
et|et|g
por_ce|por_ce|g
,|,|g
##|##
biaux|biaux|g
nies|nies|g
,|,|g
qe|qe3|g
je|je|g
##|##
voudroie|voudroie1|g
tot|tot1|g
jors|jors|g
vostre|vostre1|g
honor|honor|g
##|##
et|et|g
vostre|vostre1|g
acreïsiment|acreïsiment1|g
,|,|g
si|si|g
##|##
vos|vos|g
di|di|g
qe|qe3|g
,|,|g
se|se2|g
##|##
vostre|vostre|g
cuor|cuor1|g
vos|vos|g
aportoit|aportoit|g
et|et|g
##|##
