FORMA|KEY|SIGL
coment|coment|v
li|li|v
roi|roi|v
pelleus|pelleus|v
##|##
prist|prist|v
haine|haine|v
et|et|v
fellonie|fellonie|v
contre|contre|v
##|##
son|son1|v
nevo|nevo|v
jason|jason1|v
et|et|v
coment|coment|v
##|##
il|il|v
pensa|pensa|v
de|de|v
lui|lui|v
hocire|hocire|v
##|##
.|.|v
or|or|v
dit|dit|v
li|li|v
contes|contes|v
##|##
et|et|v
la|la|v
veraie|veraie|v
estoire|estoire|v
de|de|v
##|##
daire|daire1|v
le|le6|v
nos|nos1|v
tesmoigne|tesmoigne|v
qe|qe3|v
##|##
pelleus|pelleus|v
fu|fu|v
un|un|v
riche|riche2|v
roi|roi|v
##|##
saje|saje|v
et|et|v
cortois|cortois|v
et|et|v
vaillant|vaillant|v
##|##
.|.|v
celui|celui|v
pelleus|pelleus|v
tenoit|tenoit|v
mult|mult|v
##|##
grant|grant4|v
partie|partie|v
de|de|v
grese|grese|v
desous|desous|v
##|##
sa|sa|v
seignorie|seignorie|v
;|;|v
son|son1|v
reigne|reigne|v
tenoit|tenoit|v
##|##
il|il|v
quitement|quitement|v
et|et|v
en|en|v
pais|pais|v
##|##
et|et|v
loiaument|loiaument|v
.|.|v
celui|celui|v
pelleus|pelleus|v
##|##
avoit|avoit|v
un|un|v
sien|sien|v
frere|frere|v
en_la|en_la|v
##|##
cité|cité|v
de|de|v
penolope|penolope|v
dou_qel|dou_qel|v
l’|l’1|v
##|##
estoire|estoire|v
ne|ne|v
nos|nos1|v
raconte|raconte|v
qel|qel|v
##|##
estoit|estoit|v
sa|sa|v
seignorie|seignorie|v
ne|ne|v
c’|c’|v
##|##
il|il|v
estoit|estoit|v
conte|conte|v
qel|qel1|v
esto|esto|v
##|##
estoie|estoie|v
duc|duc|v
.|.|v
de|de|v
celui|celui1|v
##|##
frere|frere|v
pelleus|pelleus1|v
nasqi|nasqi|v
un|un|v
fiz|fiz|v
##|##
qi|qi|v
estoit|estoit1|v
mult|mult|v
biau|biau|v
damoisel|damoisel|v
##|##
et|et|v
vaillant|vaillant|v
car|car|v
de|de|v
sa|sa|v
##|##
enfante|enfante|v
comenca|comenca|v
il|il|v
à|à|v
sormonter|sormonter|v
##|##
tot|tot1|v
les|les|v
damoiseles|damoiseles|v
